127.0.0.1, 2014-05-27 16:29:10, GET, /kurssihallinta/appadmin/select/db, HTTP/1.1, 200, 0.134312
127.0.0.1, 2014-05-27 16:29:12, GET, /kurssihallinta/appadmin/insert/db/oppilas, HTTP/1.1, 200, 0.128618
127.0.0.1, 2014-05-27 16:29:26, POST, /kurssihallinta/appadmin/insert/db/oppilas, HTTP/1.1, 200, 0.384839
127.0.0.1, 2014-05-27 16:29:28, GET, /kurssihallinta/appadmin/index, HTTP/1.1, 200, 0.121104
127.0.0.1, 2014-05-27 16:29:32, GET, /kurssihallinta/appadmin/select/db, HTTP/1.1, 200, 0.131597
127.0.0.1, 2014-05-27 16:29:37, GET, /kurssihallinta/appadmin/insert/db/opettaja, HTTP/1.1, 200, 0.123283
127.0.0.1, 2014-05-27 16:29:53, POST, /kurssihallinta/appadmin/insert/db/opettaja, HTTP/1.1, 200, 0.439690
127.0.0.1, 2014-05-27 16:29:57, GET, /kurssihallinta/appadmin/index, HTTP/1.1, 200, 0.109565
127.0.0.1, 2014-05-27 16:30:10, GET, /kurssihallinta/appadmin/insert/db/opettaja, HTTP/1.1, 200, 0.117837
127.0.0.1, 2014-05-27 16:30:11, GET, /kurssihallinta/appadmin/select/db, HTTP/1.1, 200, 0.154354
127.0.0.1, 2014-05-27 16:30:11, GET, /kurssihallinta/appadmin/index, HTTP/1.1, 200, 0.104681
127.0.0.1, 2014-05-27 16:30:13, GET, /kurssihallinta/appadmin/insert/db/oppilas, HTTP/1.1, 200, 0.161180
127.0.0.1, 2014-05-27 16:30:14, GET, /kurssihallinta/appadmin/select/db, HTTP/1.1, 200, 0.237749
127.0.0.1, 2014-05-27 16:30:15, GET, /kurssihallinta/appadmin/index, HTTP/1.1, 200, 0.118388
127.0.0.1, 2014-05-27 16:30:16, GET, /kurssihallinta/appadmin/insert/db/kurssityo, HTTP/1.1, 200, 0.125663
127.0.0.1, 2014-05-27 16:30:17, GET, /kurssihallinta/appadmin/select/db, HTTP/1.1, 200, 0.125637
127.0.0.1, 2014-05-27 16:30:17, GET, /kurssihallinta/appadmin/index, HTTP/1.1, 200, 0.130612
127.0.0.1, 2014-05-27 16:30:24, POST, /kurssihallinta/appadmin/insert/db/kurssi, HTTP/1.1, 200, 0.117592
127.0.0.1, 2014-05-27 16:30:24, GET, /kurssihallinta/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.002351
127.0.0.1, 2014-05-27 16:30:24, GET, /kurssihallinta/static/js/calendar.js, HTTP/1.1, 200, 0.001681
127.0.0.1, 2014-05-27 16:30:24, GET, /kurssihallinta/static/js/jquery.js, HTTP/1.1, 304, 0.010638
127.0.0.1, 2014-05-27 16:30:24, GET, /kurssihallinta/static/css/calendar.css, HTTP/1.1, 200, 0.011812
127.0.0.1, 2014-05-27 16:30:24, GET, /kurssihallinta/static/css/web2py.css, HTTP/1.1, 200, 0.002527
127.0.0.1, 2014-05-27 16:30:24, GET, /kurssihallinta/static/js/web2py.js, HTTP/1.1, 200, 0.003086
127.0.0.1, 2014-05-27 16:30:24, GET, /kurssihallinta/static/css/skeleton.css, HTTP/1.1, 200, 0.009763
127.0.0.1, 2014-05-27 16:30:24, GET, /kurssihallinta/static/js/superfish.js, HTTP/1.1, 200, 0.001323
127.0.0.1, 2014-05-27 16:30:24, GET, /kurssihallinta/static/css/superfish.css, HTTP/1.1, 200, 0.001440
127.0.0.1, 2014-05-27 16:30:24, GET, /kurssihallinta/static/images/poweredby.png, HTTP/1.1, 200, 0.002104
127.0.0.1, 2014-05-27 16:30:29, GET, /kurssihallinta/appadmin/insert/db/kurssi, HTTP/1.1, 200, 0.109443
127.0.0.1, 2014-05-27 16:30:31, GET, /kurssihallinta/appadmin/index, HTTP/1.1, 200, 0.115835
127.0.0.1, 2014-05-27 16:30:33, GET, /kurssihallinta/appadmin/insert/db/kurssityo, HTTP/1.1, 200, 0.114894
127.0.0.1, 2014-05-27 16:30:40, GET, /kurssihallinta/appadmin/, HTTP/1.1, 200, 0.286750
127.0.0.1, 2014-05-27 16:30:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000943
127.0.0.1, 2014-05-27 16:30:52, GET, /favicon.ico, HTTP/1.1, 400, 0.001485
127.0.0.1, 2014-05-27 16:30:58, GET, /, HTTP/1.1, 303, 0.002927
127.0.0.1, 2014-05-27 16:30:58, GET, /welcome/default/index, HTTP/1.1, 200, 0.120907
127.0.0.1, 2014-05-27 16:31:01, GET, /admin/default/index, HTTP/1.1, 303, 0.010480
127.0.0.1, 2014-05-27 16:31:01, GET, /admin/default/site, HTTP/1.1, 200, 0.126385
127.0.0.1, 2014-05-27 16:31:01, GET, /favicon.ico, HTTP/1.1, 400, 0.001530
127.0.0.1, 2014-05-27 16:31:11, GET, /kurssihallinta/default/index, HTTP/1.1, 200, 0.054808
127.0.0.1, 2014-05-27 16:31:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000643
127.0.0.1, 2014-05-27 16:31:48, GET, /kurssihallinta/default/opettaja_kaikki_kurssit, HTTP/1.1, 200, 0.045468
127.0.0.1, 2014-05-27 16:31:48, GET, /favicon.ico, HTTP/1.1, 400, 0.001536
127.0.0.1, 2014-05-27 16:31:48, GET, /kurssihallinta/default/opettaja_kaikki_kurssit, HTTP/1.1, 200, 0.088797
